ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_S_D,p_H_N,p_N_Los
-48.31341807279728,812085.5580508347,707794.3184109797,58791.59208257087,15944.532245843697,5173.168138210978,30676.68932924232,28357.873318011232,1778.5138998271802,2302.3364527124945,3048.456402192696,0.009208429548448,0.0731812573807341,0.0254264296292152
-29.141826619033488,814379.275263472,695578.4735202551,63970.47815857408,15814.197766847348,5663.812279240034,30070.965048468835,20914.86029719591,2190.047427636361,2533.887237440375,2973.215634450077,0.0248227271641749,0.0495884452274206,0.014595004429032
-36.68732102638808,838494.9669058992,709167.2711107044,57205.91317473761,15553.573420263518,6317.067277715771,29852.684242425967,35755.437181280904,1840.523572395692,2328.215820266381,2984.8240738706686,0.0039720677207527,0.0785059876660939,0.0262541721355499
-30.172595945955887,827844.7473258128,694376.2699671779,65719.52444095977,15467.18614504694,6213.976343919569,30281.21339720514,36288.96883531847,2241.1926268201137,2482.095329380389,2947.220257445116,0.0245717887014643,0.0600079955968802,0.0181188581402264
-29.046896085641947,827244.0080664798,664941.6751293144,55535.648340223655,15413.841452940222,7869.1799290294975,30942.27693924611,50595.52637288904,1765.7511358055472,2595.7226907505487,2918.761769845164,0.0234374153339253,0.0365014716587767,0.0243916047638728
-30.75192669019558,803707.5841995466,717483.7767445544,50000.00274837832,15915.573589232255,4264.60447932975,30448.15297024448,32407.807414038143,1595.5577441325474,2608.9051226268834,3024.7901336066147,0.0238816905783122,0.0375742095491719,0.0256656022093913
-45.88689169177604,831677.0987965576,675728.5227455659,63490.34117038753,15580.88955845248,7517.598919216298,29910.84520399607,37366.29328291759,2141.1062334025683,2409.875185154164,2968.3346441401623,0.0177661835910775,0.0543321307429848,0.016330212812622
-50.14868434101143,828365.839063379,717020.6202577751,62280.379513353175,15571.700302053348,5530.117544982512,29942.09708746406,32685.09280421556,2151.333598754568,2535.0513563862373,3028.6985681073384,0.0165681017242128,0.0517472444660493,0.0170539944390909
-23.115370948990577,819102.2827763996,698723.3203745921,84559.51885503049,15748.942081578316,6346.454814137569,29379.14943299819,50384.34164293083,2881.240335900902,2460.7784716447604,3000.6606583163657,0.0196029605446171,0.0482161975002384,0.0232218883097728
-30.85263019544239,772559.0384210682,745987.5349260747,70691.59318268398,16387.973767507832,1292.2762381851603,28743.01408135598,35081.4941108457,2437.1800346747245,2479.6902733626225,3034.736781190845,0.0195914858196531,0.0503306010556771,0.0161603787040694
