ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_H_N,p_N_Los
-85.67639105065842,837105.8617854989,730953.2051339921,70886.90980832823,15676.125106838106,4982.005527452794,29158.06229368293,43862.176047730485,2388.929965269077,2100.2519198379887,3028.476552139261,0.0952574999884689,0.0211029855726987
-35.63700646697757,781857.6403849226,696702.40524428,68236.88156102442,16652.94178217695,4318.131536616645,27610.107677492804,38998.02322126564,2190.445510832403,2183.356922662896,3047.9780158145068,0.0825221529288805,0.0203059500877438
-52.93111715923581,812227.9090455628,772671.3606650153,52223.11889172303,16136.809961947149,1763.3947332799237,29834.914681711845,34212.89606262592,1603.5911186595088,2004.3987864306464,3120.6804835321914,0.1304707981272229,0.0182838326847221
-47.90182491977514,823908.7483436095,669652.2763999492,59320.41894877778,15806.037129679384,7499.25845735939,29630.60339760606,56632.833828976814,2038.831989728659,2054.233246938486,2947.122298826764,0.100777466471642,0.0182734476161472
-125.67705748889682,853768.182610303,633995.99563775,64484.18479105857,15701.555688980074,10597.349937328356,29445.967677628378,31897.622227145024,2132.567796574358,1849.433066797845,2876.08609489481,0.133068928937974,0.0168503300067954
-80.89024791539867,815552.8180021123,730749.736138047,75597.20142676106,16157.199359716373,4172.590262698917,28338.32469609831,42602.87371613059,2448.535126277698,2082.0284157574733,3056.035859350561,0.0971773753142915,0.0263177451199432
-74.87361827343898,818725.1371631899,705971.4399775929,62394.85870027928,16006.742114311852,5827.784488929751,29706.397519131904,28069.261115897123,2134.836138302699,1933.1466368246356,3120.808239420082,0.1224725336499031,0.0172528785692681
-65.43027611710437,832740.7714855882,675819.9463452541,87436.66949638726,15935.198117128262,7644.871073929205,27654.978665226197,64879.21076033983,3068.000501054465,1968.9717831306837,2999.621964963377,0.1249707243181793,0.0226392779238559
-83.84871010090268,859502.6618497329,678505.1990695106,76008.68247372514,15202.219362883265,8606.488387009362,29864.510683726665,34000.879885097165,2427.3371558887507,2028.8151264708304,2947.3522576435303,0.1125906636037989,0.0261140388219666
-59.63171080497465,844838.1210127715,657515.606478625,54789.5748233404,15561.24926450791,9348.245607325482,30124.0342962468,34393.41134061464,1839.999249787135,1888.642510545952,2961.9858487842125,0.1397439135809444,0.0157371709399288
-58.61998585923912,827443.8983924105,678388.676442696,73179.22920247928,16114.891242812882,7293.909217700922,28211.668889456607,39406.47696409358,2657.6090263329834,1988.6422446471304,2950.3606913586086,0.1145067106147197,0.0175767329051556
-86.56451180814665,842818.5582568819,704908.052929622,94323.78422145492,15630.185678930327,6482.501436774422,28018.368745345186,38177.70973238725,3332.970757850548,2081.531348511797,2983.030316350284,0.1140733406115161,0.0166968682380704
-95.14850065900372,839364.9056010087,739046.9427192477,63332.52540630451,15463.479024806677,4786.553207689261,30329.314525088776,38951.50817241702,2191.864255082417,2121.8140065049097,3129.8449523972527,0.0756782268798716,0.0200516004212926
-59.58604158082397,821721.459680995,724213.5661136862,50342.30085006623,15796.319439718332,4761.865908787067,30394.02518332436,28670.15032901175,1561.7641329614517,2119.2096088183134,3055.6614674799744,0.09585857427152,0.012200965786137
