sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,m_ND
25,-427.07956941581347,788302.1958234311,569811.2837933006,124115.24890719696,66811.37932719557,16132.926568109791,30212.467961252663,13757.05143756618,2529.497122991952,3045.068942893821,396.3937620587414,515.9639443864712,1128.06366576472,0.037578957010112934,7.467272100541074e-06
26,-727.7331026238608,767482.3444064283,564205.8982042556,120455.98506141434,61990.60444086597,16858.517267687228,29322.044874694235,11134.305672024715,2736.166249291385,3242.890930163142,246.10010944252772,282.98639089253606,843.4782951615462,0.03617362017665811,6.522989904205614e-06
27,-485.75380040256755,791996.1672803494,643039.0123481302,126045.26474311296,69789.42137069722,16264.360826632777,29300.2796081121,10230.227964198168,2938.0251714931587,3243.1303934627467,473.6570347167231,695.8267745367101,1265.658592756588,0.030374044757137276,6.980487982242675e-06
28,-605.2777643943473,765991.7659884138,620148.8804398316,124752.07471141523,66003.92715657598,16539.47311970319,28427.56248156746,13518.354153224243,2623.3357486718537,3031.0198787828626,384.0519795070905,535.3917716206993,1326.6460251861865,0.017837332380536225,8.477346504393407e-06
29,-434.5936683152154,762298.0065803446,688521.7617790315,140483.64304463976,86419.3769927031,16520.931365225653,30051.157947041633,6245.038321774829,2705.7875977814256,2961.904146793651,950.686676660399,1430.4748751494467,2447.451743367383,0.02918272326089565,8.378957028270253e-06
30,-366.1748683019973,777146.9510731112,636732.1861396482,126061.62977360676,63084.862860299996,16054.251369016465,30714.988005505427,7854.37039162141,2958.5482223731606,3275.032551965813,507.9625881343913,404.6685752214039,1084.4570713267012,0.03842882861392692,6.82372558680802e-06
31,-507.0297228516898,808016.3653233304,603446.7017734251,120286.3955118588,61197.651111412415,15728.828125520657,31671.993234614605,10704.443173289967,2890.144988486071,3219.8934740695836,199.4613856937083,316.06798273306913,785.3852415587462,0.03552926403594567,6.2923284645424854e-06
32,-462.75513282546507,805491.8916635115,691761.9193932054,120874.88144686751,61602.42696183279,15970.895938242938,28669.700050369593,8654.464572125647,2846.983890292224,3258.1779722947563,311.88857592739475,290.294063865205,896.2750500783096,0.025564434698193753,6.907238846564852e-06
33,-395.3729582121848,798611.2999661921,676665.6319123022,125271.79640351112,67336.02565872467,16245.446577365714,30825.228201543792,9312.341670228563,2925.3737003851725,3249.7125840123845,457.0935191002513,657.6406384561786,1187.6517436212584,0.02661044969912934,7.583621122251821e-06
34,-513.2581929288775,830880.3613354962,673122.8341353389,120976.80607979964,63938.26577610272,15402.429715687007,31668.43683104217,11689.587781629172,2800.6390597527156,3273.5934048009617,198.33825051629276,356.9551550994028,1061.7194828128372,0.034449118489657156,7.773527413987566e-06
35,-598.9297116664384,792473.2610978574,638127.0950075729,119310.24854040712,62485.25519614353,16419.788462254215,29799.542674738525,12788.879893070629,2482.469554501694,3234.317847174175,139.52474224601735,280.02997584750597,918.554118247345,0.01828140640545903,7.710838864418474e-06
36,-424.36886998548846,765969.6753330455,669324.737761091,120035.57035422102,63823.9666500572,16484.277982093194,29673.527637528998,6944.9063352426865,2781.305260822577,3246.659377454228,192.7017579092232,466.3400109763022,1159.289749482035,0.03690537951330323,7.2463787196138255e-06
37,-432.2503822696158,777697.7939799275,608132.4080314215,120204.06222797322,66401.75928134976,16757.81582196581,32212.175074388742,10789.825969580783,2840.160753507199,3200.1207858329267,224.92653529206459,575.6842355623572,1215.5011534037724,0.03166783262784428,7.219100910463115e-06
38,-373.65404285419794,822347.429309388,635444.805336241,131409.69289199717,69728.0977642413,15775.502158655045,30708.193840841966,12693.098211525288,2693.196982732671,3133.535950732794,623.1006976384832,700.2860968729575,1664.7680579181197,0.03830123785981653,7.675673801071845e-06
39,-373.40706463964807,757709.9520344189,578783.5306904748,124540.85872544789,66137.2204851683,16735.332142758467,31049.434109416125,10217.040107681078,2905.9697158195245,3176.3601330985844,468.84903217258704,602.550193014107,1198.9433905323476,0.03397804374106854,6.322346807342162e-06
40,-398.25485330949306,822146.1526689532,607810.8976525802,120664.56990984261,65015.469108385456,15905.320010688161,30290.067491369347,17128.9449080934,2663.794583055157,3017.9929590956986,211.38603844674918,642.2863053499406,1135.3269545269384,0.029510056035143433,8.407142823319929e-06
41,-566.5969684188685,788620.4501886428,594851.9488892779,127022.74280097893,67092.0719211146,16534.539864643477,29569.504717555355,12764.745602115778,2501.7616724746163,3101.341685309665,539.4103000361042,554.6354582626093,1161.6904121979076,0.03163991265016556,7.41221511399814e-06
42,-401.9091476526645,766009.4805290143,641431.9349493764,122232.05860524398,64572.89282293021,16487.48974274822,31444.419355624428,10115.522348866292,2840.1771104185214,3081.690156627405,299.54391423236444,425.94041659715873,1139.3067619633894,0.043845692348898464,8.49199844671066e-06
43,-490.0742726061561,799599.9160895462,650853.1204275866,123589.13939656463,64100.23984936268,16349.29425890572,31100.136531304583,9955.139848213594,2857.9293106357327,3366.821896024148,351.21259262021204,382.41865745216506,1068.8160497141123,0.037305065856712435,7.133909815977279e-06
44,-486.3217138794353,769816.7218081682,649198.9074219611,124503.1118023026,67592.48329355704,16492.094443680588,30784.51314652883,8747.061452456568,2678.3296682760856,3181.625846594816,350.87738068217857,620.1123483417647,1252.1754143631617,0.03643611178547128,7.723186938646673e-06
45,-596.5002843180923,759366.0358191696,591315.2636343386,121919.48953061351,65187.82002520483,16750.670919083972,28890.122808045144,10624.204626041856,2823.919325553569,3154.6040232631376,300.0742886690158,557.4637925656156,1217.6685924361843,0.031064520766120787,6.873340110723268e-06
46,-493.53167471931886,777063.5570748826,658409.5999875161,122687.1373306463,63018.06335098952,16378.970037292831,30115.426290427342,9249.779870018961,2980.3317063573227,3221.7964965666247,340.5183386116749,346.5841285473739,890.3626357862814,0.021746454225035114,7.932621143850091e-06
